Date,Location,HomeTeam,AwayTeam
14/03/2020 15:00,Etihad Stadium,Man City,Burnley
14/03/2020 15:00,St. James' Park,Newcastle,Sheffield Utd
14/03/2020 15:00,Carrow Road,Norwich,Southampton
14/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,Man Utd
14/03/2020 15:00,Vicarage Road,Watford,Leicester
14/03/2020 15:00,London Stadium,West Ham,Wolves
21/03/2020 15:00,Turf Moor,Burnley,Watford
21/03/2020 15:00,Stamford Bridge,Chelsea,Man City
21/03/2020 15:00,King Power Stadium,Leicester,Brighton
21/03/2020 15:00,Anfield,Liverpool,Crystal Palace
21/03/2020 15:00,Old Trafford,Man Utd,Sheffield Utd
21/03/2020 15:00,St. James' Park,Newcastle,Aston Villa
21/03/2020 15:00,Carrow Road,Norwich,Everton
21/03/2020 15:00,St. Mary's Stadium,Southampton,Arsenal
21/03/2020 15:00,Tottenham Hotspur Stadium,Spurs,West Ham
21/03/2020 15:00,Molineux Stadium,Wolves,Bournemouth
04/04/2020,Vitality Stadium,Bournemouth,Newcastle
04/04/2020,Emirates Stadium,Arsenal,Norwich
04/04/2020,Villa Park,Aston Villa,Wolves
04/04/2020,Amex Stadium,Brighton,Man Utd
04/04/2020,Selhurst Park,Crystal Palace,Burnley
04/04/2020,Goodison Park,Everton,Leicester
04/04/2020,Etihad Stadium,Man City,Liverpool
04/04/2020,Bramall Lane,Sheffield Utd,Spurs
04/04/2020,Vicarage Road,Watford,Southampton
04/04/2020,London Stadium,West Ham,Chelsea
11/04/2020,Turf Moor,Burnley,Sheffield Utd
11/04/2020,Stamford Bridge,Chelsea,Watford
11/04/2020,King Power Stadium,Leicester,Crystal Palace
11/04/2020,Anfield,Liverpool,Aston Villa
11/04/2020,Old Trafford,Man Utd,Bournemouth
11/04/2020,St. James' Park,Newcastle,West Ham
11/04/2020,Carrow Road,Norwich,Brighton
11/04/2020,St. Mary's Stadium,Southampton,Man City
11/04/2020,Tottenham Hotspur Stadium,Spurs,Everton
11/04/2020,Molineux Stadium,Wolves,Arsenal
18/04/2020 15:00,Vitality Stadium,Bournemouth,Spurs
18/04/2020 15:00,Emirates Stadium,Arsenal,Leicester
18/04/2020 15:00,Villa Park,Aston Villa,Man Utd
18/04/2020 15:00,Amex Stadium,Brighton,Liverpool
18/04/2020 15:00,Selhurst Park,Crystal Palace,Chelsea
18/04/2020 15:00,Goodison Park,Everton,Southampton
18/04/2020 15:00,Etihad Stadium,Man City,Newcastle
18/04/2020 15:00,Bramall Lane,Sheffield Utd,Wolves
18/04/2020 15:00,Vicarage Road,Watford,Norwich
18/04/2020 15:00,London Stadium,West Ham,Burnley
25/04/2020 15:00,Vitality Stadium,Bournemouth,Leicester
25/04/2020 15:00,Villa Park,Aston Villa,Crystal Palace
25/04/2020 15:00,Amex Stadium,Brighton,Man City
25/04/2020 15:00,Anfield,Liverpool,Burnley
25/04/2020 15:00,Old Trafford,Man Utd,Southampton
25/04/2020 15:00,Carrow Road,Norwich,West Ham
25/04/2020 15:00,Bramall Lane,Sheffield Utd,Chelsea
25/04/2020 15:00,Tottenham Hotspur Stadium,Spurs,Arsenal
25/04/2020 15:00,Vicarage Road,Watford,Newcastle
25/04/2020 15:00,Molineux Stadium,Wolves,Everton
02/05/2020,Emirates Stadium,Arsenal,Liverpool
02/05/2020,Turf Moor,Burnley,Wolves
02/05/2020,Stamford Bridge,Chelsea,Norwich
02/05/2020,Selhurst Park,Crystal Palace,Man Utd
02/05/2020,Goodison Park,Everton,Aston Villa
02/05/2020,King Power Stadium,Leicester,Sheffield Utd
02/05/2020,Etihad Stadium,Man City,Bournemouth
02/05/2020,St. James' Park,Newcastle,Spurs
02/05/2020,St. Mary's Stadium,Southampton,Brighton
02/05/2020,London Stadium,West Ham,Watford
09/05/2020,Vitality Stadium,Bournemouth,Southampton
09/05/2020,Villa Park,Aston Villa,Arsenal
09/05/2020,Amex Stadium,Brighton,Newcastle
09/05/2020,Anfield,Liverpool,Chelsea
09/05/2020,Old Trafford,Man Utd,West Ham
09/05/2020,Carrow Road,Norwich,Burnley
09/05/2020,Bramall Lane,Sheffield Utd,Everton
09/05/2020,Tottenham Hotspur Stadium,Spurs,Leicester
09/05/2020,Vicarage Road,Watford,Man City
09/05/2020,Molineux Stadium,Wolves,Crystal Palace
17/05/2020 15:00,Emirates Stadium,Arsenal,Watford
17/05/2020 15:00,Turf Moor,Burnley,Brighton
17/05/2020 15:00,Stamford Bridge,Chelsea,Wolves
17/05/2020 15:00,Selhurst Park,Crystal Palace,Spurs
17/05/2020 15:00,Goodison Park,Everton,Bournemouth
17/05/2020 15:00,King Power Stadium,Leicester,Man Utd
17/05/2020 15:00,Etihad Stadium,Man City,Norwich
17/05/2020 15:00,St. James' Park,Newcastle,Liverpool
17/05/2020 15:00,St. Mary's Stadium,Southampton,Sheffield Utd
17/05/2020 15:00,London Stadium,West Ham,Aston Villa
